"Ständige und nichtständige Wohnbevölkerung nach institutionellen Gliederungen, Geburtsort und Staatsangehörigkeit"

"Jahr";"Kanton (-) / Bezirk (>>) / Gemeinde (......)";"Bevölkerungstyp";"Geburtsort";"Nordmazedonien"
"2018";"- Bern / Berne";"Ständige Wohnbevölkerung";"Geburtsort - Total";6565
"2018";"......0431 Corgémont";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0432 Cormoret";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0433 Cortébert";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0434 Courtelary";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0435 La Ferrière";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0437 Mont-Tramelan";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0438 Orvin";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0441 Renan (BE)";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0442 Romont (BE)";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0443 Saint-Imier";"Ständige Wohnbevölkerung";"Geburtsort - Total";14
"2018";"......0444 Sonceboz-Sombeval";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0445 Sonvilier";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0446 Tramelan";"Ständige Wohnbevölkerung";"Geburtsort - Total";7
"2018";"......0448 Villeret";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0449 Sauge";"Ständige Wohnbevölkerung";"Geburtsort - Total";6
"2018";"......0450 Péry-La Heutte";"Ständige Wohnbevölkerung";"Geburtsort - Total";22
"2018";"......0681 Belprahon";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0683 Champoz";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0687 Corcelles (BE)";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0690 Court";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0691 Crémines";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0692 Eschert";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0694 Grandval";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0696 Loveresse";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0700 Moutier";"Ständige Wohnbevölkerung";"Geburtsort - Total";30
"2018";"......0701 Perrefitte";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0703 Reconvilier";"Ständige Wohnbevölkerung";"Geburtsort - Total";3
"2018";"......0704 Roches (BE)";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0706 Saicourt";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0707 Saules (BE)";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0708 Schelten";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0709 Seehof";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0711 Sorvilier";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0713 Tavannes";"Ständige Wohnbevölkerung";"Geburtsort - Total";40
"2018";"......0715 Rebévelier";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0716 Petit-Val";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0717 Valbirse";"Ständige Wohnbevölkerung";"Geburtsort - Total";11
"2018";"......0723 La Neuveville";"Ständige Wohnbevölkerung";"Geburtsort - Total";1
"2018";"......0724 Nods";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0726 Plateau de Diesse";"Ständige Wohnbevölkerung";"Geburtsort - Total";1
"2018";"......0371 Biel/Bienne";"Ständige Wohnbevölkerung";"Geburtsort - Total";703
"2018";"......0372 Evilard";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0387 Lengnau (BE)";"Ständige Wohnbevölkerung";"Geburtsort - Total";107
"2018";"......0390 Meinisberg";"Ständige Wohnbevölkerung";"Geburtsort - Total";9
"2018";"......0392 Pieterlen";"Ständige Wohnbevölkerung";"Geburtsort - Total";120
"2018";"......0731 Aegerten";"Ständige Wohnbevölkerung";"Geburtsort - Total";59
"2018";"......0732 Bellmund";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0733 Brügg";"Ständige Wohnbevölkerung";"Geburtsort - Total";58
"2018";"......0739 Ipsach";"Ständige Wohnbevölkerung";"Geburtsort - Total";10
"2018";"......0740 Ligerz";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0742 Mörigen";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0743 Nidau";"Ständige Wohnbevölkerung";"Geburtsort - Total";33
"2018";"......0744 Orpund";"Ständige Wohnbevölkerung";"Geburtsort - Total";41
"2018";"......0745 Port";"Ständige Wohnbevölkerung";"Geburtsort - Total";27
"2018";"......0746 Safnern";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0747 Scheuren";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0748 Schwadernau";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0750 Sutz-Lattrigen";"Ständige Wohnbevölkerung";"Geburtsort - Total";2
"2018";"......0756 Twann-Tüscherz";"Ständige Wohnbevölkerung";"Geburtsort - Total";6
"2018";"......0301 Aarberg";"Ständige Wohnbevölkerung";"Geburtsort - Total";41
