quartier_stadtteil,total_2018,deutschland,mazedonien,spanien,frankreich,italien,eritrea,kosovo,kroatien,oesterreich,polen,portugal,serbien,tuerkei,uk,somalia,usa,china,indien,srilanka,syrien
Schwarzes Quartier,166,68,0,6,5,23,0,0,0,4,1,1,1,0,3,0,5,0,0,5,0
Weisses Quartier,141,40,0,7,8,15,0,0,1,4,1,3,2,2,5,0,6,0,0,0,0
Grünes Quartier,313,94,0,9,27,34,0,0,2,9,6,8,2,5,14,0,14,3,0,1,3
Gelbes Quartier,150,27,0,2,6,31,2,2,1,5,2,5,1,7,4,2,3,0,1,7,0
Rotes Quartier,120,24,0,5,2,14,0,0,0,0,6,3,0,3,1,0,10,2,0,0,1
Innere Stadt,890,253,0,29,48,117,2,2,4,22,16,20,6,17,27,2,38,5,1,13,4
Engeried,192,54,1,23,19,16,0,4,3,8,2,7,0,2,1,2,3,0,0,0,0
Felsenau,714,152,30,20,16,55,24,19,17,11,8,18,29,27,8,2,4,7,16,39,9
Neufeld,894,270,0,54,43,119,42,2,4,41,7,17,11,7,15,2,8,15,6,18,4
Länggasse,596,171,1,39,25,97,11,9,9,19,7,17,8,5,8,3,9,16,6,2,2
Stadtbach,428,107,1,18,12,33,15,2,4,9,2,4,2,4,9,2,6,4,1,5,31
Muesmatt,945,278,12,58,25,121,14,13,10,25,16,35,8,13,13,4,11,9,26,12,9
Länggasse-Felsenau,3769,1032,45,212,140,441,106,49,47,113,42,98,58,58,54,15,41,51,55,76,55
Holligen,2153,428,24,130,46,248,59,60,45,38,35,107,25,68,22,23,19,70,60,80,49
Weissenstein,249,88,14,15,10,31,5,2,0,5,5,6,1,3,0,5,5,2,4,1,0
Mattenhof,1671,440,21,80,48,235,29,16,17,39,25,50,20,36,18,9,10,37,14,73,16
Monbijou,752,216,5,32,65,66,5,11,9,15,13,11,10,8,14,2,21,7,1,13,7
Weissenbühl,1483,404,7,77,46,160,39,20,7,36,26,29,43,41,36,4,14,32,14,20,13
Sandrain,881,224,2,40,37,72,25,10,4,20,17,12,18,25,8,34,19,20,6,14,16
Mattenhof-Weissenbühl,7189,1800,73,374,252,812,162,119,82,153,121,215,117,181,98,77,88,168,99,201,101
Kirchenfeld,734,250,9,52,19,50,7,2,2,20,9,9,1,5,20,1,24,12,5,0,4
Gryphenhübeli,357,118,1,10,8,16,2,2,1,15,4,4,12,1,16,0,16,3,8,0,0
Brunnadern,864,201,2,41,32,56,2,2,5,18,28,29,8,22,25,5,17,60,17,0,0
Murifeld,1186,147,5,37,43,96,22,33,8,13,20,51,6,22,9,26,11,21,41,32,8
Schosshalde,1842,446,24,72,61,191,13,36,16,41,20,57,58,38,49,7,29,44,19,20,24
Beundenfeld,518,126,3,28,12,74,17,1,10,12,6,19,4,13,5,2,3,9,6,10,20
Kirchenfeld-Schosshalde,5501,1288,44,240,175,483,63,76,42,119,87,169,89,101,124,41,100,149,96,62,56
Altenberg,228,81,0,18,8,13,3,0,2,16,7,10,1,2,4,0,11,0,0,6,0
Spitalacker,1155,347,1,80,39,122,20,13,9,36,23,23,9,20,24,1,24,33,9,24,18
Breitfeld,1281,206,18,116,36,186,22,44,33,21,27,63,50,36,9,1,12,15,9,30,4
Breitenrain,1384,235,15,101,53,179,45,91,22,28,17,54,16,43,13,5,10,19,8,25,5
Lorraine,789,169,24,58,14,114,20,34,6,13,8,23,9,19,6,23,5,7,4,41,20
Breitenrain-Lorraine,4837,1038,58,373,150,614,110,182,72,114,82,173,85,120,56,30,62,74,30,126,47
Bümpliz,5612,445,443,358,56,877,203,350,120,68,55,370,155,269,37,111,24,97,50,182,78
Oberbottigen,103,31,1,9,5,20,0,0,1,2,1,4,0,2,3,0,0,0,0,5,0
Stöckacker,717,99,16,56,3,78,28,34,14,7,3,43,25,46,3,32,3,15,4,35,1
Bethlehem,5757,359,558,319,34,758,167,418,89,51,56,459,202,388,18,166,15,94,56,112,132
Bümpliz-Oberbottigen,12189,934,1018,742,98,1733,398,802,224,128,115,876,382,705,61,309,42,206,110,334,211
stadtbern_total,34375,6345,1238,1970,863,4200,841,1230,471,649,463,1551,737,1182,420,474,371,653,391,812,474
