"Ständige und nichtständige Wohnbevölkerung nach institutionellen Gliederungen, Geburtsort und Staatsangehörigkeit"

"Jahr";"Kanton (-) / Bezirk (>>) / Gemeinde (......)";"Bevölkerungstyp";"Geburtsort";"Staatsangehörigkeit - Total";"Deutschland";"Frankreich";"Vereinigtes Königreich";"Italien";"Spanien";"Türkei";"Nordmazedonien";"Kosovo";"Eritrea"
"2018";"- Bern / Berne";"Ständige Wohnbevölkerung";"Geburtsort - Total";1034977;27578;5066;1660;21071;7343;5588;6565;8910;5536
"2018";"......0431 Corgémont";"Ständige Wohnbevölkerung";"Geburtsort - Total";1706;3;71;1;58;15;4;0;8;5
"2018";"......0432 Cormoret";"Ständige Wohnbevölkerung";"Geburtsort - Total";491;3;4;1;2;6;0;0;0;0
"2018";"......0433 Cortébert";"Ständige Wohnbevölkerung";"Geburtsort - Total";705;4;19;4;29;6;3;0;3;1
"2018";"......0434 Courtelary";"Ständige Wohnbevölkerung";"Geburtsort - Total";1438;8;56;1;46;10;2;0;7;0
"2018";"......0435 La Ferrière";"Ständige Wohnbevölkerung";"Geburtsort - Total";534;0;8;0;11;5;0;0;0;0
"2018";"......0437 Mont-Tramelan";"Ständige Wohnbevölkerung";"Geburtsort - Total";122;0;2;0;0;0;0;0;0;0
"2018";"......0438 Orvin";"Ständige Wohnbevölkerung";"Geburtsort - Total";1225;8;49;4;14;6;1;0;5;2
"2018";"......0441 Renan (BE)";"Ständige Wohnbevölkerung";"Geburtsort - Total";928;15;18;3;13;11;2;0;0;0
"2018";"......0442 Romont (BE)";"Ständige Wohnbevölkerung";"Geburtsort - Total";199;2;6;0;8;0;0;0;0;0
"2018";"......0443 Saint-Imier";"Ständige Wohnbevölkerung";"Geburtsort - Total";5131;15;205;5;223;91;29;14;87;45
"2018";"......0444 Sonceboz-Sombeval";"Ständige Wohnbevölkerung";"Geburtsort - Total";1968;11;84;0;117;33;1;0;1;2
"2018";"......0445 Sonvilier";"Ständige Wohnbevölkerung";"Geburtsort - Total";1237;4;34;0;28;5;0;0;0;0
"2018";"......0446 Tramelan";"Ständige Wohnbevölkerung";"Geburtsort - Total";4568;9;90;3;96;47;6;7;8;20
"2018";"......0448 Villeret";"Ständige Wohnbevölkerung";"Geburtsort - Total";925;2;25;0;20;16;0;0;3;0
