objekt_id,kategorie,objekt_strasse,objekt_ort,plz,zimmer,nutzflaeche,nettomiete,nebenkosten,bruttomiete
1108404,Wohnung,"Oberfeld, Jurablickweg 7",Ostermundigen,3072,3.5,76,1680,240,1920
2034884,Wohnung,Freiestrasse 35,Bern,3012,2.5,45,1110,170,1280
3255700,Wohnung,Gerbestrasse 11,Ostermundigen,3072,3,NULL,1100,150,1250
3563474,Wohnung,Brunngasse 48,Bern,3011,1.5,42,1080,190,1270
3852208,Wohnung,Murtenstrasse 256,Bern,3027,2.5,55,1110,150,1260
3911925,Wohnung,Melchiorstrasse 7,Bern,3027,4.5,NULL,1698,270,1968
4941186,Wohnung,Bachstrasse 6,Ostermundigen,3072,2.5,51,1110,180,1290
4941976,Wohnung,Depotstrasse 2,Bern,3012,2.5,80,1720,150,1870
5085000,Wohnung,Grabenpromenade 5,Bern,3011,3.5,88,1805,230,2035
5293494,Wohnung,Ostermundigenstrasse 40,Bern,3006,4,90,1430,290,1720
5321353,Wohnung,Obere Zollgasse 68,Ostermundigen,3072,3.5,NULL,1220,230,1450
5368777,Wohnung,Schänzlistrasse 19,Bern,3013,2,NULL,NULL,NULL,NULL
5478472,Wohnung,Ringstrasse 9,Ostermundigen,3072,1,25,700,120,820
5545111,Wohnung,Lerchenweg 37,Bern,3012,2.5,67,1530,150,1680
5705514,Wohnung,Altenbergstrasse 38,Bern,3013,2,NULL,1232,180,1412
5753532,Wohnung,Murtenstrasse 143 B,Bern,3008,2,43,1130,170,1300
5805446,Wohnung,Hostettlerweg 4,Bern,3006,2.5,66,1950,180,2130
5857618,Wohnung,Flurweg 34,Ostermundigen,3072,3,56,1150,220,1370
5924472,Wohnung,Flurweg 34,Ostermundigen,3072,3,56,1150,220,1370
6004664,Wohnung,Hostettlerweg 4,Bern,3006,3.5,98,2500,271,2771
6053024,Wohnung,Gerbestrasse 11a,Ostermundigen,3072,3.5,NULL,1270,220,1490
6110498,Wohnung,Neuhausweg 21,Bern,3027,3.5,NULL,1450,255,1705
6112079,Wohnung,Ringstrasse 11,Ostermundigen,3072,3.5,55,1250,180,1430
6122490,Wohnung,Postgasse 44,Bern,3011,3.5,104,2470,250,2720
6128253,Wohnung,Winkelweg 12,Ostermundigen,3072,2,45,1300,150,1450
6148960,Wohnung,Bolligenstr.28a,Bern,3006,3,97,1660,230,1890
6173977,Wohnung,Murtenstrasse 143 B,Bern,3008,2,48,1250,170,1420
6176331,Wohnung,Neuhausweg 21,Bern,3027,3,NULL,1320,245,1565
6205870,Wohnung,Obere Zollgasse 35,Ostermundigen,3072,3.5,60,1300,220,1520
6212726,Wohnung,Sonnenbergrain 4,Bern,3013,6.5,150,3800,450,4250
6224222,Wohnung,Heggidorn 56,Frauenkappelen,3202,4.5,85,1440,200,1640
6244359,Wohnung,Dennigkofenweg 185,Ostermundigen,3072,3.5,84,1700,250,1950
6255979,Wohnung,Sonnenbergrain 57,Bern,3013,5.5,135,3500,450,3950
6256527,Wohnung,Nydeggstalden 2,Bern,3011,2,NULL,2790,200,2990
6262384,Wohnung,Zälglistrasse 8,Frauenkappelen,3202,4.5,94,1300,300,1600
6271320,Wohnung,Schänzlistrasse 65,Bern,3013,2,44,1390,180,1570
6272812,Wohnung,Waldheimstrasse 8,Bern,3012,3,57,1300,220,1520
6274407,Wohnung,Reiterstrasse 15,Bern,3013,2,45,1210,170,1380
6279375,Wohnung,Holenackerstrasse 11,Bern,3027,3.5,73,1330,260,1590
6281777,Wohnung,Gerbestrasse 21,Ostermundigen,3072,4,NULL,1100,250,1350
6282244,Wohnung,Oberer Flurweg 124,Ostermundigen,3072,3.5,NULL,1380,240,1620
6288079,Haus,Obere Zollgasse 59 A,Ostermundigen,3072,4.5,90,NULL,NULL,2450
6289951,Wohnung,Bachstrasse 12,Ostermundigen,3072,3.5,68,1240,250,1490
6294415,Wohnung,Murtenstrasse 4,Frauenkappelen,3202,3,NULL,1340,250,1590
6296870,Wohnung,Ringstrasse 11a,Ostermundigen,3072,3.5,55,1140,210,1350
6299322,Wohnung,Gerbestrasse 24,Ostermundigen,3072,3,NULL,1100,300,1400
6299331,Wohnung,Gerbestrasse 22,Ostermundigen,3072,3,NULL,1070,250,1320
6301597,Wohnung,Aarbergergasse 57,Bern,3011,2.5,95,2050,250,2300
6304922,Wohnung,Aehrenweg 27,Bern,3027,3,NULL,1100,190,1290
6307725,Wohnung,Brunngasse 30,Bern,3011,1.5,NULL,1820,170,1990
6312190,Wohnung,Heggidorn 56,Frauenkappelen,3202,4.5,85,1440,200,1640
6328295,Wohnung,Länggassstrasse 32,Bern,3012,1,14,300,90,390
6328661,Wohnung,Dennigkofenweg 160,Ostermundigen,3072,3,67,1200,200,1400
6329378,Wohnung,Ringstrasse 3,Ostermundigen,3072,3.5,NULL,1150,220,1370
6331095,Wohnung,Neuengasse 36,Bern,3011,3.5,120,2400,150,2550
6335737,Wohnung,Radarstrasse 1,Bern,3013,3.5,80,1750,350,2100
6335742,Wohnung,Radarstrasse 1,Bern,3013,4.5,86,1850,400,2250
6339016,Wohnung,Güterstrasse 3,Ostermundigen,3072,3.5,86,1790,270,2060
6339087,Wohnung,Humboldtstrasse 13,Bern,3013,5,115,2360,370,2730
6342903,Wohnung,Falkenweg 17,Bern,3012,2,NULL,1150,180,1330
6343178,Wohnung,Neuhausweg 23,Bern,3027,3,62,1150,170,1320
6344794,Wohnung,Viktoriastr. 21 (Süd),Bern,3013,2.5,59,1580,150,1730
6347276,Wohnung,Dennigkofenweg 183,Ostermundigen,3072,4.5,117,2150,300,2450
6348177,Wohnung,Oberdorfstrasse 34,Ostermundigen,3072,3,72,1200,200,1400
6348785,Wohnung,Obere Zollgasse 34,Ostermundigen,3072,3.5,62,1290,250,1540
